position;name;cheke;perfomance;yearofprod;cpusocket;cpucore;numofcores,numofthreads;basefreq;turbofreq;cachel1;cachel2;cachel3;graphics;memorycontroller;pciecontroller;lithography;tdp;cpucategory
3284;Intel Celeron G470;;387.99;2013;LGA1155;1 / 2;1 / 2;2000 MHz;нет;32+32;256;1536;Intel HD Graphics650 - 1000 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;35 W;десктопный
3285;AMD Turion X2 Ultra ZM-80;;387.49;2008;Socket S1;2 / 2;2 / 2;2100 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR2-800;нет;65 nm;32 W;мобильный
3286;Intel Celeron N3010;;387.48;2016;BGA1170;2 / 2;2 / 2;1040 MHz;2240 MHz;2x32 + 2x24;2048;нет;Intel HD Graphics 400320 - 600 MHz;2 chann.DDR3L-1600;PCI Express 2.04 lines;14 nm;4 W;мобильный
3287;Intel Celeron J1800;;386.97;2013;BGA1170;2 / 2;2 / 2;2410 MHz;2580 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics668 - 792 MHz;2 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;10 W;десктопный
3288;Intel Celeron 857;;385.8;2011;BGA1023;2 / 2;2 / 2;1200 MHz;нет;2x32 + 2x32;256x2;2048;Intel HD Graphics350 - 1000 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;17 W;мобильный
3289;Intel Core 2 Duo T5500;;384.54;2007;PGA478;2 / 2;2 / 2;1660 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;34 W;мобильный
3290;AMD Athlon 64 X2 3800+ (AM2);;382.36;2006;Socket AM2;2 / 2;2 / 2;2000 MHz;нет;2x64 + 2x64;1024;нет;нет;2 chann.DDR2-800;нет;90 nm;65 W;десктопный
3291;Intel Pentium D 965 XE;;379.32;2006;LGA775;2 / 2;2 / 2;3733 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;130 W;десктопный
3292;Intel Celeron 847E;;378.53;2011;BGA1023;2 / 2;2 / 2;1100 MHz;нет;2x32 + 2x32;2x256;2048;Intel HD Graphics350 - 800 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;17 W;встраиваемый
3293;Intel Celeron J1750;;378.43;2013;BGA1170;2 / 2;2 / 2;2410 MHz;нет;2x32 + 2x24;1024;нет;Intel HD Graphics688 - 750 MHz;2 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;10 W;десктопный
3294;Intel Celeron G460;;378.03;2011;LGA1155;1 / 2;1 / 2;1800 MHz;нет;32+32;256;1536;Intel HD Graphics650 - 1000 MHz;2 chann.DDR3-1066;PCI Express 2.016 lines;32 nm;35 W;десктопный
3295;Intel Core i3-330UM;;377.46;2010;BGA1288;2 / 4;2 / 4;1200 MHz;нет;32+32x2;256x2;3072;Intel HD Graphics166 - 500 MHz;2 chann.DDR3-800;PCI Express 2.016 lines;32 nm;18 W;мобильный
3296;AMD E1-2500;;377.41;2013;Socket FT3;2 / 2;2 / 2;1400 MHz;нет;2x32+2x32;1024;нет;Radeon HD8240400 MHz, 128 shaders;1 chann.DDR3L-1333;PCI Express 2.04 lines;28 nm;15 W;мобильный
3297;Intel Pentium U5400;;377.14;2010;BGA1288;2 / 2;2 / 2;1200 MHz;нет;32+32x2;256x2;3072;Intel HD Graphics166 - 500 MHz;2 chann.DDR3-800;PCI Express 2.016 lines;32 nm;18 W;мобильный
3298;AMD Opteron 1210 HE;;375.83;2007;Socket AM2;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR2;нет;90 nm;65 W;серверный
3299;Intel Core Duo T2600;;375.76;2006;BGA479;2 / 2;2 / 2;2167 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;31 W;мобильный
3300;Intel Celeron 1019Y;;375.7;2013;BGA1023;2 / 2;2 / 2;1000 MHz;нет;2x32 + 2x32;256x2;2048;Intel HD Graphics350 - 800 MHz;2 chann.DDR3L-RS-1600;PCI Express 2.016 lines;22 nm;10 W;мобильный
3301;AMD Opteron 256;;372.81;2005;Socket 940;1 / 1;1 / 1;3000 MHz;нет;64+64;1024;нет;нет;2 chann.DDR;нет;90 nm;92.6 W;серверный
3302;AMD Opteron 265;;372.81;2005;Socket 940;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR;нет;90 nm;95 W;серверный
3303;Intel Pentium T2330;;371.94;2007;PGA478;2 / 2;2 / 2;1600 MHz;нет;2x32 + 2x32;1024;нет;нет;нет;нет;65 nm;35 W;мобильный
3304;AMD Turion II Neo N40L;;371.67;2011;BGA812;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;2x1024;нет;нет;2 chann.DDR3-800;нет;45 nm;15 W;встраиваемый
3305;Intel Celeron U3600;;371.59;2011;BGA1288;2 / 2;2 / 2;1200 MHz;нет;32+32x2;256x2;2048;Intel HD Graphics166-500 MHz;2 chann.DDR3-800;PCI Express 2.016 lines;32 nm;18 W;мобильный
3306;AMD Sempron 150;;370.67;2010;Socket AM3 Socket AM2+;1 / 1;1 / 1;2900 MHz;нет;64+64;1024;нет;нет;2 chann.DDR3;нет;45 nm;45 W;десктопный
3307;Intel Core 2 Duo SU7300;;369.66;2008;BGA592;2 / 2;2 / 2;1300 MHz;нет;2x32 + 2x32;3072;нет;нет;нет;нет;45 nm;10 W;мобильный
3308;Intel Celeron G465;;369.44;2012;LGA1155;1 / 2;1 / 2;1900 MHz;нет;32+32;256;1536;Intel HD Graphics650 - 1000 MHz;2 chann.DDR3-1066;PCI Express 2.016 lines;32 nm;35 W;десктопный
3309;Intel Pentium T2310;;369.19;2007;PGA478;2 / 2;2 / 2;1460 MHz;нет;2x32 + 2x32;1024;нет;нет;нет;нет;65 nm;35 W;мобильный
3310;AMD Turion 64 X2 TL-56;;367.45;2006;Socket S1;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;90 nm;31 W;мобильный
3311;Intel Atom Z3735E;;366.08;2014;BGA1380;4 / 4;4 / 4;1333 MHz;1833 MHz;4x32 + 4x24;2048;нет;Intel HD Graphics311 - 646 MHz, 4 ex.units;1 chann.DDR3L-RS 1333;PCI Express 2.04 lines;22 nm;2.2 W;мобильный
3312;Intel Celeron N2820;;365.36;2013;BGA1170;2 / 2;2 / 2;2133 MHz;2390 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics311 - 756 MHz;2 chann.DDR3L-1066;PCI Express 2.04 lines;22 nm;7.5 W;мобильный
3313;AMD E1-7010;;364.79;2015;Socket FP4;2 / 2;2 / 2;1500 MHz;нет;2x32+2x32;1024;нет;Radeon R2 series400 MHz, 128 shaders;1 chann.DDR3-1333;PCI Express 2.08 lines;28 nm;10 W;мобильный
3314;Intel Celeron 847;;364.75;2011;BGA1023;2 / 2;2 / 2;1100 MHz;нет;2x32 + 2x32;256x2;2048;Intel HD Graphics350 - 800 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;17 W;мобильный
3315;Intel Pentium D 940;;364.15;2006;LGA775;2 / 2;2 / 2;3200 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;130 W;десктопный
3316;AMD Turion X2 L510;;363.18;2009;Socket S1;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-800;нет;65 nm;20 W;мобильный
3317;Intel Atom C2338;;363.12;2013;BGA1283;2 / 2;2 / 2;1700 MHz;2000 MHz;2x32 + 2x24;1024;нет;нет;1 chann.DDR3L-1333;PCI Express 2.08 lines;22 nm;7 W;встраиваемый
3318;AMD Turion 64 X2 TL-52;;362.21;2006;Socket S1;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;90 nm;31 W;мобильный
3319;Intel Celeron N2830;;362.13;2014;BGA1170;2 / 2;2 / 2;2167 MHz;2420 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics313 - 750 MHz;2 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;7.5 W;мобильный
3320;Intel Pentium D 955 XE;;361.91;2006;LGA775;2 / 2;2 / 2;3466 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;130 W;десктопный
3321;AMD Athlon 64 X2 TK-55;;361.71;2007;Socket S1;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;512;нет;нет;2 chann.DDR2-667;нет;65 nm;31 W;мобильный
3322;AMD Athlon 64 X2 TK-53;;361.38;2007;Socket S1;2 / 2;2 / 2;1700 MHz;нет;2x64+2x64;512;нет;нет;2 chann.DDR2-667;нет;65 nm;31 W;мобильный
3323;AMD E1 Micro-6200T;;361.37;2014;Socket FT3;2 / 2;2 / 2;1000 MHz;1400 MHz;2x32 + 2x32;1024;нет;Radeon R2 series300 MHz, 128 shaders;1 chann.DDR3L-1066;PCI Express 2.0;28 nm;3.95 W;мобильный
3324;AMD Athlon 64 X2 TK-42;;361.12;2007;Socket S1;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;65 nm;20 W;мобильный
3325;Intel Pentium D 830;;359.62;2005;LGA775;2 / 2;2 / 2;3000 MHz;нет;16x2;2048;нет;нет;нет;нет;90 nm;130 W;десктопный
3326;Intel Atom C2358;;359.39;2013;BGA1283;2 / 2;2 / 2;1700 MHz;2000 MHz;2x32 + 2x24;1024;нет;нет;1 chann.DDR3L-1333;PCI Express 2.08 lines;22 nm;7 W;встраиваемый
3327;Intel Core 2 Duo SU9600;;358.82;2009;BGA956;2 / 2;2 / 2;1600 MHz;нет;2x32 + 2x32;3072;нет;нет;нет;нет;45 nm;10 W;мобильный
3328;AMD Athlon X2 BE-2300;;357.84;2007;Socket AM2;2 / 2;2 / 2;1900 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-800;нет;65 nm;45 W;десктопный
3329;AMD Opteron 1210;;357.76;2006;Socket AM2;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR2;нет;90 nm;103 W;серверный
3330;Intel Core 2 Duo SU9400;;357.51;2008;BGA956;2 / 2;2 / 2;1400 MHz;нет;2x32 + 2x32;3072;нет;нет;нет;нет;45 nm;10 W;мобильный
3331;AMD Athlon X2 BE-2350;;356.03;2007;Socket AM2;2 / 2;2 / 2;2100 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-800;нет;65 nm;45 W;десктопный
3332;AMD Athlon Neo X2 L335;;355.78;2009;BGA812;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;65 nm;18 W;мобильный
3333;Intel Celeron 867;;355.57;2012;BGA1023;2 / 2;2 / 2;1300 MHz;нет;2x32 + 2x32;256x2;2048;Intel HD Graphics350 - 1000 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;17 W;мобильный
3334;AMD Turion X2 RM-77;;354.97;2008;Socket S1;2 / 2;2 / 2;2300 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-800;нет;65 nm;35 W;мобильный
3335;AMD Turion 64 X2 TL-58;;354.76;2006;Socket S1;2 / 2;2 / 2;1900 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;90 nm;35 W;мобильный
3336;AMD Athlon II Neo K345;;354.42;2011;BGA812;2 / 2;2 / 2;1400 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR3L-800;нет;45 nm;12 W;мобильный
3337;AMD Athlon 64 X2 QL-67;;350.58;2008;Socket S1;2 / 2;2 / 2;2200 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;65 nm;35 W;мобильный
3338;AMD E1-6015;;350.51;2015;Socket FT3;2 / 2;2 / 2;1400 MHz;нет;2x32+2x32;1024;нет;Radeon R2 series260 - 350 MHz, 128 shaders;1 chann.DDR3L-1333;PCI Express 2.08 lines;28 nm;10 W;мобильный
3339;Intel Pentium E2140;;349.94;2007;LGA775;2 / 2;2 / 2;1600 MHz;нет;32x2;1024;нет;нет;нет;нет;65 nm;65 W;десктопный
3340;Intel Core 2 Duo T5300;;349.42;2007;PGA478;2 / 2;2 / 2;1733 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;34 W;мобильный
3341;AMD Sempron 2650;;347.44;2014;Socket AM1;2 / 2;2 / 2;1450 MHz;нет;2x32+2x32;1024;нет;Radeon R3 series400 MHz, 128 shaders;1 chann.DDR3-1333;PCI Express 2.04 lines;28 nm;25 W;десктопный
3342;Intel Pentium Extreme Edition 955;;346.26;2006;LGA775;2 / 4;2 / 4;3467 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;130 W;десктопный
3343;Intel Pentium SU4100;;345.67;2009;BGA592;2 / 2;2 / 2;1300 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;45 nm;10 W;мобильный
3344;Intel Celeron U3400;;344.98;2010;BGA1288;2 / 2;2 / 2;1060 MHz;нет;32+32x2;256x2;2048;Intel HD Graphics166-500 MHz;2 chann.DDR3-800;PCI Express 2.016 lines;32 nm;18 W;мобильный
3345;AMD Athlon Neo X2 L325;;344.02;2009;BGA812;2 / 2;2 / 2;1500 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;65 nm;18 W;мобильный
3346;Intel Celeron N2815;;343.63;2013;BGA1170;2 / 2;2 / 2;1867 MHz;2133 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics313 - 756 MHz;2 chann.DDR3L-1066;PCI Express 2.04 lines;22 nm;7.5 W;мобильный
3347;AMD E1-6010;;342.27;2014;Socket FT3;2 / 2;2 / 2;1350 MHz;нет;2x32+2x32;1024;нет;Radeon R2 series350 MHz, 128 shaders;1 chann.DDR3L-1333;PCI Express 2.08 lines;28 nm;10 W;мобильный
3348;Intel Celeron N2808;;340.02;2014;BGA1170;2 / 2;2 / 2;1580 MHz;2250 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics311 - 792 MHz;1 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;4.5 W;мобильный
3349;AMD Athlon Neo X2 6850e;;339.76;2009;Socket AM2;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-800;нет;65 nm;22 W;десктопный
3350;AMD Sempron X2 2200;;339.16;2007;Socket AM2;2 / 2;2 / 2;2000 MHz;нет;2x64+2x64;512;нет;нет;2 chann.DDR2;нет;65 nm;65 W;десктопный
3351;Intel Core Duo T2500;;338.07;2006;BGA479;2 / 2;2 / 2;2000 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;31 W;мобильный
3352;AMD Athlon 64 X2 3400+;;337.79;2006;Socket AM2;2 / 2;2 / 2;1800 MHz;нет;2x64 + 2x64;1024;нет;нет;2 chann.DDR2-800;нет;90 nm;35 W;десктопный
3353;Intel Core Duo T2450;;336.35;2006;PGA478;2 / 2;2 / 2;2000 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;31 W;мобильный
3354;AMD Sempron 145;;334.74;2010;Socket AM2+ Socket AM3;1 / 1;1 / 1;2800 MHz;нет;64+64;1024;нет;нет;2 chann.DDR3;нет;45 nm;45 W;десктопный
3355;Intel Celeron N2806;;334.61;2013;BGA1170;2 / 2;2 / 2;1600 MHz;2000 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics313 - 756 MHz;1 chann.DDR3L-1066;PCI Express 2.04 lines;22 nm;4.5 W;мобильный
3356;AMD Sempron X2 2300;;334.34;2007;Socket AM2;2 / 2;2 / 2;2100 MHz;нет;2x64+2x64;512;нет;нет;2 chann.DDR2;нет;65 nm;65 W;десктопный
3357;Intel Celeron E1200;;332.63;2008;LGA775;2 / 2;2 / 2;1600 MHz;нет;32x2;512;нет;нет;нет;нет;65 nm;65 W;десктопный
3358;Intel Atom D2700;;330.5;2011;BGA559;2 / 4;2 / 4;2133 MHz;нет;2x32 + 2x24;1024;нет;Intel GMA 3650640 MHz;1 chann.DDR3-1066;нет;32 nm;10 W;мобильный
3359;AMD Turion 64 X2 TL-50;;329.69;2006;Socket S1;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;2x256;нет;нет;2 chann.DDR2-667;нет;90 nm;31 W;мобильный
3360;Intel Pentium D 945;;327.43;2006;LGA775;2 / 2;2 / 2;3400 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;95 W;десктопный
3361;Intel Atom S1260;;326.38;2012;BGA1283;2 / 4;2 / 4;2000 MHz;нет;2x32 + 2x24;1024;нет;нет;1 chann.DDR3-1333;PCI Express 2.08 lines;32 nm;8.5 W;серверный
3362;AMD Sempron 140;;326.37;2009;Socket AM2+ Socket AM3;1 / 1;1 / 1;2700 MHz;нет;64+64;1024;нет;нет;2 chann.DDR3;нет;45 nm;45 W;десктопный
3363;Intel Celeron B720;;325.93;2012;PGA988;1 / 1;1 / 1;1700 MHz;нет;32+32;256;1536;Intel HD Graphics650 - 1000 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;35 W;мобильный
3364;Intel Celeron N2807;;324.85;2014;BGA1170;2 / 2;2 / 2;1580 MHz;2167 MHz;2x32 + 2x24;1024;нет;Intel HD Graphics313 - 750 MHz;1 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;4.3 W;мобильный
3365;Intel Celeron SU2300;;324.52;2009;BGA592;2 / 2;2 / 2;1200 MHz;нет;2x32 + 2x32;1024;нет;нет;нет;нет;45 nm;10 W;мобильный
3366;Intel Atom C2350;;323.33;2013;BGA1283;2 / 2;2 / 2;1700 MHz;2000 MHz;2x32 + 2x24;1024;нет;нет;1 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;6 W;серверный
3367;Intel Core 2 Duo SL7100;;321.68;2007;BGA592;2 / 2;2 / 2;1200 MHz;нет;2x32 + 2x32;4096;нет;нет;нет;нет;65 nm;12 W;мобильный
3368;Intel Pentium D 935;;321.2;2006;LGA775;2 / 2;2 / 2;3200 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;95 W;десктопный
3369;AMD Sempron X2 2100;;321.09;2007;Socket AM2;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;512;нет;нет;2 chann.DDR2;нет;65 nm;65 W;десктопный
3370;Intel Atom D2701;;320.07;2012;BGA559;2 / 4;2 / 4;2133 MHz;нет;2x32 + 2x24;1024;нет;Intel GMA 3650;1 chann.DDR3-1066;нет;32 nm;10 W;мобильный
3371;AMD E2-2000;;320.03;2013;Socket FT1;2 / 2;2 / 2;1750 MHz;нет;2x32+2x32;1024;нет;Radeon HD7340538-700 MHz, 80 shaders;1 chann.DDR3L-1066;PCI Express 2.04 lines;40 nm;18 W;мобильный
3372;AMD Opteron 165;;319.81;2005;Socket 939;2 / 2;2 / 2;1800 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR;нет;90 nm;110 W;серверный
3373;Intel Core 2 Duo L7300;;319.07;2007;PGA478;2 / 2;2 / 2;1400 MHz;нет;2x32 + 2x32;4096;нет;нет;нет;нет;65 nm;17 W;мобильный
3374;AMD Athlon II Neo N36L;;318.55;2010;BGA812;2 / 2;2 / 2;1300 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR3-800;нет;45 nm;12 W;встраиваемый
3375;Intel Atom N2800;;317.93;2011;BGA559;2 / 4;2 / 4;1867 MHz;нет;2x32 + 2x24;1024;нет;Intel GMA 3650640 MHz;1 chann.DDR3-1066;нет;32 nm;6.5 W;мобильный
3376;Intel Celeron N2810;;317.26;2013;BGA1170;2 / 2;2 / 2;2000 MHz;нет;2x32 + 2x24;1024;нет;Intel HD Graphics313 - 756 MHz;2 chann.DDR3L-1066;PCI Express 2.04 lines;22 nm;7.5 W;мобильный
3377;Intel Pentium D 840 XE;;317.15;2005;LGA775;2 / 2;2 / 2;3200 MHz;нет;16x2;2048;нет;нет;нет;нет;90 nm;130 W;десктопный
3378;AMD Athlon 64 X2 QL-62;;316.25;2008;Socket S1;2 / 2;2 / 2;2000 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;65 nm;35 W;мобильный
3379;Intel Core 2 Duo L7400;;316.24;2007;PGA478;2 / 2;2 / 2;1500 MHz;нет;2x32 + 2x32;4096;нет;нет;нет;нет;65 nm;17 W;мобильный
3380;Intel Pentium D 930;;312.63;2006;LGA775;2 / 2;2 / 2;3000 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;95 W;десктопный
3381;AMD E2-1800;;311.67;2012;Socket FT1;2 / 2;2 / 2;1700 MHz;нет;2x32+2x32;1024;нет;Radeon HD7340;1 chann.DDR3L-1066;PCI Express 2.04 lines;40 nm;18 W;мобильный
3382;Intel Pentium D 915;;311.54;2006;LGA775;2 / 2;2 / 2;2800 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;95 W;десктопный
3383;AMD Athlon 64 FX-57;;311.38;2005;Socket 939;1 / 1;1 / 1;2800 MHz;нет;64+64;1024;нет;нет;2 chann.DDR-500;нет;90 nm;104 W;десктопный
3384;Intel Pentium D 820;;311.35;2005;LGA775;2 / 2;2 / 2;2800 MHz;нет;16x2;2048;нет;нет;нет;нет;90 nm;95 W;десктопный
3385;Intel Pentium D 840;;311.09;2005;LGA775;2 / 2;2 / 2;3200 MHz;нет;16x2;2048;нет;нет;нет;нет;90 nm;130 W;десктопный
3386;Intel Core 2 Duo SU9300;;311.05;2008;BGA956;2 / 2;2 / 2;1200 MHz;нет;2x32 + 2x32;3072;нет;нет;нет;нет;45 nm;10 W;мобильный
3387;Intel Core 2 Duo T5200;;310.35;2007;PGA478 Socket M;2 / 2;2 / 2;1600 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;34 W;мобильный
3388;AMD Turion Neo X2 L625;;308.45;2009;BGA812;2 / 2;2 / 2;1600 MHz;нет;2x64+2x64;1024;нет;нет;2 chann.DDR2-667;нет;65 nm;18 W;мобильный
3389;AMD Sempron 130;;307.79;2009;Socket AM2+ Socket AM3;1 / 1;1 / 1;2600 MHz;нет;64+64;512;нет;нет;2 chann.DDR3;нет;45 nm;45 W;десктопный
3390;Intel Core Duo T2400;;306.28;2006;BGA479;2 / 2;2 / 2;1833 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;31 W;мобильный
3391;Intel Celeron 925;;304.28;2011;PGA478;1 / 1;1 / 1;2300 MHz;нет;32 + 32;1024;нет;нет;нет;нет;45 nm;35 W;мобильный
3392;Intel Pentium D 925;;304.04;2006;LGA775;2 / 2;2 / 2;3000 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;95 W;десктопный
3393;Intel Atom E3827;;303.76;2013;BGA1170;2 / 2;2 / 2;1750 MHz;нет;2x32 + 2x24;1024;нет;Intel HD Graphics542 - 792 MHz;2 chann.DDR3L-1333;PCI Express 2.04 lines;22 nm;8 W;встраиваемый
3394;Intel Atom Z3770D;;303.63;2013;BGA1380;4 / 4;4 / 4;1500 MHz;2410 MHz;4x32 + 4x24;2048;нет;Intel HD Graphics313 - 688 MHz, 4 ex.units;1 chann.DDR3L-RS 1333;PCI Express 2.04 lines;22 nm;2.2 W;мобильный
3395;Intel Core 2 Duo U7700;;303;2007;BGA479;2 / 2;2 / 2;1330 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;10 W;мобильный
3396;AMD G-T56N;;300.6;2011;Socket FT1;2 / 2;2 / 2;1600 MHz;нет;2x32+2x32;1024;нет;Radeon HD6310500 MHz, 80 shaders;1 chann.DDR3-1066;PCI Express 2.04 lines;40 nm;18 W;встраиваемый
3397;AMD E-450;;299.45;2011;Socket FT1;2 / 2;2 / 2;1650 MHz;нет;2x32+2x32;1024;нет;Radeon HD6320508-600 MHz, 80 shaders;1 chann.DDR3L-1066;PCI Express 2.04 lines;40 nm;18 W;мобильный
3398;AMD Athlon II Neo K325;;298.39;2010;BGA812;2 / 2;2 / 2;1300 MHz;нет;2x64+2x64;2048;нет;нет;2 chann.DDR3L-800;нет;45 nm;12 W;мобильный
3399;AMD E-350;;296.52;2011;Socket FT1;2 / 2;2 / 2;1600 MHz;нет;2x32+2x32;1024;нет;Radeon HD6310492 MHz, 80 shaders;1 chann.DDR3L-1066;PCI Express 2.04 lines;40 nm;18 W;мобильный
3400;Intel Atom N2600;;296.22;2011;BGA559;2 / 4;2 / 4;1600 MHz;нет;2x32 + 2x24;1024;нет;Intel GMA 3600400 MHz;1 chann.DDR3-800;нет;32 nm;3.5 W;мобильный
3401;AMD Opteron 252;;294.52;2005;Socket 940;1 / 1;1 / 1;2600 MHz;нет;64+64;1024;нет;нет;2 chann.DDR;нет;90 nm;92.6 W;серверный
3402;Intel Core Duo T2250;;292.33;2006;PGA478;2 / 2;2 / 2;1733 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;31 W;мобильный
3403;AMD Athlon 64 3100+;;291.51;2008;Socket AM2 Socket AM2+;1 / 1;1 / 1;2000 MHz;нет;64+64;512;нет;нет;2 chann.DDR2;нет;65 nm;25 W;десктопный
3404;AMD V140;;288.15;2010;Socket S1;1 / 1;1 / 1;2300 MHz;нет;64+64;512;нет;нет;2 chann.DDR3L-1066;нет;45 nm;25 W;мобильный
3405;Intel Atom D510;;287.21;2010;BGA559;2 / 4;2 / 4;1666 MHz;нет;32x2 + 24x2;1024;нет;Intel GMA400 MHz;1 chann.DDR2-800;нет;45 nm;13 W;десктопный
3406;Intel Core 2 Duo T5270;;286.39;2007;PGA478;2 / 2;2 / 2;1400 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;35 W;мобильный
3407;AMD E1-2200;;285.52;2013;Socket FT3;2 / 2;2 / 2;1050 MHz;нет;2x32 + 2x32;1024;нет;Radeon HD 8210300 MHz, 128 shaders;1 chann.DDR3-1333;PCI Express 2.04 lines;28 nm;9 W;мобильный
3408;Intel Pentium D 920;;283.24;2006;LGA775;2 / 2;2 / 2;2800 MHz;нет;2x16;4096;нет;нет;нет;нет;65 nm;95 W;десктопный
3409;AMD Athlon 64 LE-1640;;280.09;2006;Socket AM2 Socket AM2+;1 / 1;1 / 1;2600 MHz;нет;64+64;512;нет;нет;2 chann.DDR2-800;нет;90 nm;45 W;десктопный
3410;Intel Atom D525;;277.91;2010;BGA559;2 / 4;2 / 4;1800 MHz;нет;32x2 + 24x2;1024;нет;Intel GMA 3150200 MHz;1 chann.DDR2-800;нет;45 nm;13 W;десктопный
3411;Intel Celeron G440;;277.39;2011;LGA1155;1 / 1;1 / 1;1600 MHz;нет;32+32;256;1024;Intel HD Graphics650 - 1000 MHz;2 chann.DDR3-1066;PCI Express 2.016 lines;32 nm;35 W;десктопный
3412;Intel Core Duo T2300;;275.85;2006;BGA479;2 / 2;2 / 2;1667 MHz;нет;2x32 + 2x32;2048;нет;нет;нет;нет;65 nm;31 W;мобильный
3413;AMD Opteron 154;;275.24;2005;Socket 939;1 / 1;1 / 1;2800 MHz;нет;64+64;1024;нет;нет;2 chann.DDR-500;нет;90 nm;104 W;серверный
3414;Intel Celeron 797;;274.93;2012;BGA1023;1 / 1;1 / 1;1400 MHz;нет;32+32;256;1536;Intel HD Graphics350 - 950 MHz;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;17 W;мобильный
3415;Intel Core 2 Duo L7200;;273.66;2007;PGA478;2 / 2;2 / 2;1330 MHz;нет;2x32 + 2x32;4096;нет;нет;нет;нет;65 nm;17 W;мобильный
